score,score_column,target_coverage,actual_coverage,retained_subjects,total_subjects,retained_mean_dice,retained_mean_dice_ci_low,retained_mean_dice_ci_high,selective_risk_one_minus_dice,selective_risk_ci_low,selective_risk_ci_high,dice_gain_vs_full_coverage
Predictive entropy,predtgt_entropy_mean,1.0,1.0,532,532,0.5824605719471562,0.5675607597624766,0.5970997745200488,0.4175394280528438,0.4029002254799512,0.4324392402375234,0.0
Predictive entropy,predtgt_entropy_mean,0.75,0.75,399,532,0.6015273418836107,0.5860086561074499,0.6192895466778578,0.3984726581163893,0.3807104533221422,0.41399134389255,0.0190667699364545
Predictive entropy,predtgt_entropy_mean,0.5,0.5,266,532,0.6203263518015959,0.5997523813223448,0.6388464095894469,0.3796736481984041,0.361153590410553,0.4002476186776553,0.0378657798544397
Maximum-softmax uncertainty,predtgt_msp_unc_mean,1.0,1.0,532,532,0.5824605719471562,0.5675607597624769,0.5970997745200489,0.4175394280528438,0.4029002254799511,0.4324392402375231,0.0
Maximum-softmax uncertainty,predtgt_msp_unc_mean,0.75,0.75,399,532,0.6043403739780585,0.5870311244392531,0.6206327220958895,0.3956596260219415,0.3793672779041105,0.4129688755607468,0.0218798020309023
Maximum-softmax uncertainty,predtgt_msp_unc_mean,0.5,0.5,266,532,0.6226751296160158,0.6021700609767737,0.6411333531611281,0.3773248703839842,0.358866646838872,0.3978299390232262,0.0402145576688596
