component,mean_of_regional_means_nats,mean_regional_error_rho,minimum_regional_error_rho,maximum_regional_error_rho
Total predictive entropy,0.4977681874089821,0.37338662895601554,-0.01905475473504,0.6758920387431517
Mean-member entropy,0.20132093830384257,0.401246302315125,0.0322202564998349,0.7005754918985703
Mutual information,0.2964472490379162,0.2812471287985359,-0.0508576293391165,0.5279655398234193
