analysis,failure_threshold,failure_count,total_subjects,failure_prevalence,failure_prevalence_ci_low_wilson,failure_prevalence_ci_high_wilson,score,n_scored,n_unscorable,auroc,auroc_ci_low,auroc_ci_high,auprc_average_precision,auprc_ci_low,auprc_ci_high,valid_bootstrap_replicates,unscorable_failures,unscorable_nonfailures
Primary subject-level target score,0.5,150,532,0.2819548872180451,0.2453885774706101,0.3216475370723056,Predictive entropy,532,0,0.5868586387434556,0.5308182086422557,0.6418850046814939,0.4086268366646011,0.3361646228956659,0.4867845506590339,10000,0,0
Primary subject-level target score,0.5,150,532,0.2819548872180451,0.2453885774706101,0.3216475370723056,Maximum-softmax uncertainty,532,0,0.5847294938917975,0.5284758479146785,0.6406859310513094,0.4134319351399299,0.3403965238861871,0.4911082396239559,10000,0,0
Primary subject-level target score,0.5,150,532,0.2819548872180451,0.2453885774706101,0.3216475370723056,Mean-member entropy,532,0,0.5975916230366493,0.541401017109408,0.6521059799405908,0.4016709386883847,0.3314293523544075,0.4799654353677695,10000,0,0
Primary subject-level target score,0.5,150,532,0.2819548872180451,0.2453885774706101,0.3216475370723056,Mutual information,532,0,0.575846422338569,0.5187227592100833,0.6316422499692466,0.407411469421701,0.3352991023926179,0.484506971130237,10000,0,0
