region,n,predictor_family,term,contrast,beta,se_conventional,ci95_low_conventional,ci95_high_conventional,p_conventional,se_hc3,ci95_low_hc3,ci95_high_hc3,p_hc3,p_fdr_conventional_165,p_fdr_hc3_165,adjusted_r_squared
Brain-Stem,432,Pathology,Pathology_DNT,DNT vs HS,-0.0488530346150989,0.0148590647043322,-0.0780612440873516,-0.0196448251428463,0.0010956479991037,0.0117498529812153,-0.0718823232819217,-0.0258237459482762,3.21387486028721e-05,0.1114615461465133,0.0053028935194738,0.0123635277851644
L-Thalamus,432,Pathology,Pathology_CAV,CAV vs HS,-0.0939245025766987,0.0311228318302952,-0.1551021210578888,-0.0327468840955088,0.0027020980884003,0.0246712291463657,-0.1422792231579104,-0.0455697819954871,0.0001406366324156,0.1114615461465133,0.0116025221742945,0.0199539922256362
L-Thalamus,432,Pathology,Pathology_DNT,DNT vs HS,-0.0670051518787022,0.0252496917640158,-0.1166380393334668,-0.0173722644239377,0.0082664742196172,0.0187297513605221,-0.1037147899847157,-0.0302955137726888,0.0003469340198284,0.2727936492473705,0.0190813710905656,0.0199539922256362
