region,n,predictor_family,term,contrast,beta,se_conventional,ci95_low_conventional,ci95_high_conventional,p_conventional,se_hc3,ci95_low_hc3,ci95_high_hc3,p_hc3,p_fdr_conventional_165,p_fdr_hc3_165
R-Pallidum,432,Pathology,Pathology_FCD,FCD vs HS,-0.0463828630995331,0.0390956377860695,-0.1232324899521507,0.0304667637530844,0.2361435264990693,0.0429278533378072,-0.1305199095752529,0.0377541833761865,0.2799266621589832,0.6284464818120393,0.7331412580354322
L-Caudate,432,Pathology,Pathology_DUAL,Dual vs HS,-0.0472657445826572,0.040811042308339,-0.1274873127797046,0.0329558236143901,0.2474629349813338,0.0386901391319923,-0.123097023838206,0.0285655346728916,0.2218406366088158,0.6481172106653982,0.6724539864923721
L-Amygdala,432,Pathology,Pathology_CAV,CAV vs HS,-0.0313350636477281,0.0274154664136351,-0.0852251773071361,0.0225550500116797,0.2537082757471,0.0251561948739657,-0.0806402995887721,0.0179701722933157,0.2129038750456657,0.6540844288421437,0.6724539864923721
L-Amygdala,432,Pathology,Pathology_DUAL,Dual vs HS,0.0374979482144545,0.0332086146816945,-0.0277796579610849,0.1027755543899939,0.2594796660951575,0.0472606369061981,-0.0551311980081184,0.1301270944370274,0.4275280640165383,0.6540844288421437,0.8299017890588936
R-Cerebral-WM,432,Age,Age_rank_z,"Age-band rank, per 1 SD",0.0062167530602513,0.0055306005493346,-0.0046546538934598,0.0170881600139624,0.2616337715368574,0.0058896508462216,-0.0053267504798588,0.0177602566003615,0.29117912349943,0.6540844288421437,0.7391470058062454
Brain-Stem,432,Sex,Male,Male vs female,0.0107990082212407,0.0098544004967811,-0.0085716183734153,0.0301696348158968,0.2737756119349978,0.0098243090549209,-0.008456283699395,0.0300543001418765,0.2716751700035187,0.6742235219294723,0.723006500815816
R-Hippocampus,432,Pathology,Pathology_DNT,DNT vs HS,-0.0258328125798318,0.0242857588956216,-0.0735709136737132,0.0219052885140495,0.2880807244912348,0.0190121696349183,-0.0630959803322378,0.0114303551725741,0.1742253705440741,0.6990194050154963,0.6174094023284129
R-Cerebral-WM,432,Pathology,Pathology_FCD,FCD vs HS,-0.0281378770983062,0.0268991870801256,-0.0810131492976763,0.0247373951010639,0.2961456647667084,0.0303997423721742,-0.087720277287064,0.0314445230904515,0.3546560215146636,0.7081744157464765,0.8070574371876058
L-Putamen,432,Operation side,Right_side,Right vs left,0.0158968472509772,0.0154222037490708,-0.0144183150146051,0.0462120095165596,0.3032444864884215,0.0156156224177383,-0.0147092102839661,0.0465029047859205,0.3086735850029733,0.7147905752941365,0.7716839625074334
R-Caudate,432,Region size,Region_size_z,"Reference-mask voxel count, per 1 SD",-0.0086596014359603,0.0084971706945806,-0.0253623446103969,0.0080431417384763,0.3087402742683333,0.0089073063210284,-0.0261176010244421,0.0087983981525214,0.3309556266712257,0.7174950035813379,0.7914156289964093
R-Putamen,432,Pathology,Pathology_FCD,FCD vs HS,-0.038238394840267,0.0388539880704824,-0.1146130149779788,0.0381362252974446,0.3256107305634749,0.0435623134980314,-0.1236189603796518,0.0471421706991176,0.3800597895783402,0.7413050939413636,0.8186949876826999
L-Putamen,432,Number of ASMs,ASMs_z,"Number of ASMs, per 1 SD",0.0078314774255684,0.0079965259454115,-0.0078871569239936,0.0235501117751305,0.3279713445922396,0.0079467501627274,-0.0077438666875151,0.0234068215386521,0.3243813029215551,0.7413050939413636,0.7914156289964093
L-Cerebral-WM,432,Sex,Male,Male vs female,0.0112227264903448,0.0117425788670694,-0.011859460048207,0.0343049130288967,0.3397640739123347,0.0123127918478299,-0.0129099020805403,0.0353553550612299,0.3620483798657635,0.7463880062679173,0.8072700361871755
R-Pallidum,432,Sex,Male,Male vs female,-0.0162699056154732,0.0170725111813853,-0.0498290489886015,0.0172892377576551,0.3411493247742402,0.017322826196844,-0.0502220210717344,0.017682209840788,0.3476189643139011,0.7463880062679173,0.8070574371876058
L-Putamen,432,Pathology,Pathology_FCD,FCD vs HS,-0.0346693676420422,0.0373471888496379,-0.1080820983102086,0.0387433630261241,0.3537906563550825,0.0439249703673611,-0.1207607275840592,0.0514219922999747,0.4299448210087937,0.7463880062679173,0.8299017890588936
L-Pallidum,432,Region size,Region_size_z,"Reference-mask voxel count, per 1 SD",-0.0082854000599508,0.0089307890723267,-0.0258404994667776,0.0092696993468758,0.3540833185091985,0.010903503925817,-0.0296558750598433,0.0130850749399416,0.4473238231037846,0.7463880062679173,0.8304558004573753
R-Hippocampus,432,Operation type,Extra_temporal,Extra-temporal vs temporal,0.0230276947591518,0.0249799702289594,-0.0260750056850661,0.0721303952033699,0.3571430274260818,0.0243049196420405,-0.0246090723863877,0.0706644619046915,0.3434095514951983,0.7463880062679173,0.8070574371876058
R-Putamen,432,Pathology,Pathology_DUAL,Dual vs HS,-0.0354355522272739,0.0384572495549885,-0.11103031024736,0.0401592057928122,0.3573615302737301,0.0428775604560964,-0.1194740264661618,0.048602922011614,0.4085569058489143,0.7463880062679173,0.8220962129886692
L-Pallidum,432,Sex,Male,Male vs female,-0.0154382057684646,0.0178288625145488,-0.0504840960272981,0.0196076844903688,0.3870381550027924,0.0184177529477496,-0.0515363382222104,0.020659926685281,0.4019048121351436,0.7902305836944067,0.8186949876826999
L-Thalamus,432,Sex,Male,Male vs female,-0.0139641780042861,0.016156980179928,-0.0457236777389351,0.0177953217303628,0.3879313774499814,0.0165014667790611,-0.04630645858333,0.0183781025747577,0.3974196573488479,0.7902305836944067,0.8186949876826999
L-Putamen,432,Age,Age_rank_z,"Age-band rank, per 1 SD",-0.0067333477347116,0.0079863689036075,-0.0224320165608351,0.0089653210914118,0.3996542068382049,0.0079058608769094,-0.0222285503202384,0.0087618548508151,0.3943858152695723,0.8041822454671198,0.8186949876826999
L-Amygdala,432,Pathology,Pathology_OTHER,Other vs HS,0.0167068063424572,0.0202310332672047,-0.0230609898995459,0.0564746025844603,0.4093903513522103,0.0212872409114333,-0.0250154191741796,0.0584290318590941,0.4325548718731202,0.8138482888327072,0.8299017890588936
R-Pallidum,432,Operation type,Extra_temporal,Extra-temporal vs temporal,0.0226210180337059,0.0280153836625728,-0.0324483427062993,0.0776903787737111,0.4198687762904263,0.0304907916319841,-0.0371398354250983,0.0823818714925102,0.4581499186059907,0.8161772550289619,0.8399415174443163
R-Caudate,432,Pathology,Pathology_CAV,CAV vs HS,-0.0262590598998575,0.0325620524763477,-0.0902657298013858,0.0377476100016708,0.4204549495603742,0.0305407179559867,-0.0861177671555872,0.0335996473558721,0.3898965805840356,0.8161772550289619,0.8186949876826999
R-Thalamus,432,Region size,Region_size_z,"Reference-mask voxel count, per 1 SD",0.0062992033904359,0.0079614326504145,-0.0093504486690737,0.0219488554499455,0.4292695221436914,0.0102301067359967,-0.0137514373701183,0.0263498441509902,0.5380585531530369,0.8235985017873149,0.8877966127025109
Brain-Stem,432,Number of ASMs,ASMs_z,"Number of ASMs, per 1 SD",-0.0035978402009802,0.0046839548292607,-0.0128050101362272,0.0056093297342667,0.4428515887444241,0.0041765988890744,-0.0117838236014361,0.0045881431994756,0.3890022319281478,0.8326051741750976,0.8186949876826999
R-Hippocampus,432,Pathology,Pathology_DUAL,Dual vs HS,0.0258217464557831,0.034817284933811,-0.0426179953339782,0.0942614882455445,0.4587264789264411,0.0403232339439579,-0.0532103398145574,0.1048538327261236,0.5219327727342692,0.8326051741750976,0.8698879545571152
R-Putamen,432,Sex,Male,Male vs female,0.0126795996326369,0.0173488600769177,-0.02142275804023,0.046781957305504,0.4652756862961894,0.0177966688972797,-0.0222012304508155,0.0475604297160895,0.4761735406966507,0.8326051741750976,0.8619950903315224
L-Caudate,432,Pathology,Pathology_DNT,DNT vs HS,-0.0203969264012385,0.0279505644637344,-0.0753388731501771,0.0345450203477,0.4659536722574253,0.0268787644341233,-0.0730783366410564,0.0322844838385794,0.4479428257012509,0.8326051741750976,0.8304558004573753
R-Thalamus,432,Operation side,Right_side,Right vs left,0.0105266091134521,0.0144832160411009,-0.0179428010666534,0.0389960192935577,0.4677484805442706,0.0149251455937115,-0.0187261387142392,0.0397793569411435,0.4806275655181822,0.8326051741750976,0.8619950903315224
L-Putamen,432,Pathology,Pathology_OTHER,Other vs HS,0.0165689217162675,0.0228923119480267,-0.0284301045338281,0.0615679479663631,0.4696096407573656,0.0249781545173336,-0.0323873615379828,0.0655252049705178,0.5071150617560343,0.8326051741750976,0.8626184040179964
R-Putamen,432,Operation type,Extra_temporal,Extra-temporal vs temporal,0.0199561074855094,0.0277849113396742,-0.0346602177493191,0.074572432720338,0.4730153160042029,0.0293618443595477,-0.0375920499788746,0.0775042649498936,0.4967189849441784,0.8326051741750976,0.8626184040179964
L-Putamen,432,Pathology,Pathology_DNT,DNT vs HS,-0.0181800397194605,0.0254165167462882,-0.0681408521899897,0.0317807727510686,0.4748345285732929,0.021360206951066,-0.060045276045872,0.0236851966069509,0.394704246885326,0.8326051741750976,0.8186949876826999
R-Thalamus,432,Number of ASMs,ASMs_z,"Number of ASMs, per 1 SD",0.0053667993652085,0.0075808635748321,-0.0095347745682914,0.0202683732987085,0.4793787366462683,0.0067808035903311,-0.0079233314580803,0.0186569301884973,0.4286700556097773,0.8326051741750976,0.8299017890588936
L-Caudate,432,Age,Age_rank_z,"Age-band rank, per 1 SD",0.0061410150035775,0.0088016999863229,-0.0111603361936811,0.0234423662008361,0.485749699325293,0.0090176548498699,-0.0115332637271805,0.0238152937343355,0.4958720482138575,0.8348822957153473,0.8626184040179964
L-Amygdala,432,Operation type,Extra_temporal,Extra-temporal vs temporal,0.0160560957023108,0.0235485094465811,-0.0302328067529376,0.0623449981575594,0.4957254595449101,0.0280190320457612,-0.0388601979890548,0.0709723893936766,0.5666159294687254,0.8401725927578203,0.9040276950242128
L-Cerebral-WM,432,Number of ASMs,ASMs_z,"Number of ASMs, per 1 SD",0.0036990362651762,0.0055250000781194,-0.0071613619380078,0.0145594344683603,0.5035423719673324,0.0053395448689252,-0.0067662793717528,0.0141643519021053,0.4884586312834795,0.8401725927578203,0.8626184040179964
R-Amygdala,432,Operation type,Extra_temporal,Extra-temporal vs temporal,-0.0165409997317494,0.0247387129008598,-0.065169464770438,0.0320874653069392,0.5041035556546922,0.0246754269958828,-0.0649039479468271,0.0318219484833283,0.5026391623365091,0.8401725927578203,0.8626184040179964
L-Cerebral-WM,432,Operation side,Right_side,Right vs left,0.0068718746179623,0.0107629502685179,-0.0142846727312562,0.0280284219671809,0.5235158597311929,0.0105877084573855,-0.0138796526373234,0.0276234018732481,0.5163107930639961,0.8638011685564682,0.8692987842404016
R-Hippocampus,432,Pathology,Pathology_CAV,CAV vs HS,-0.0186502327485944,0.029675675197182,-0.0769832001753471,0.0396827346781582,0.5300418441577769,0.0242679280969237,-0.0662144977979727,0.0289140323007837,0.4421821149382794,0.8659099434260712,0.8304558004573753
L-Putamen,432,Operation type,Extra_temporal,Extra-temporal vs temporal,0.0165865087090487,0.0267381424735772,-0.0359722008603012,0.0691452182783987,0.5353793128688507,0.0302588105549521,-0.0427196701936778,0.0758926876117753,0.5835856955810077,0.8660547708172583,0.9040276950242128
R-Pallidum,432,Operation side,Right_side,Right vs left,0.009869741993192,0.0161573980852672,-0.0218905792108381,0.0416300631972222,0.5416326804757193,0.0166763140563709,-0.022815232952174,0.0425547169385581,0.5539564385730056,0.8676640027038223,0.8961060035739796
L-Pallidum,432,Pathology,Pathology_DUAL,Dual vs HS,0.0231916673503552,0.0398524288701058,-0.0551455707987404,0.1015289054994509,0.5609232515484799,0.0461925586531511,-0.067344083963575,0.1137274186642856,0.6156217931284057,0.8740540740962318,0.9040276950242128
L-Caudate,432,Pathology,Pathology_OTHER,Other vs HS,-0.0139168518919088,0.0251741510348927,-0.0634012502268117,0.035567546442994,0.580681487970715,0.0271881715576665,-0.0672046889504315,0.0393709851666138,0.6087409009291208,0.8740540740962318,0.9040276950242128
L-Caudate,432,Operation side,Right_side,Right vs left,0.0092347650561033,0.0168218792291289,-0.0238317153730505,0.0423012454852572,0.5833182000084772,0.0171165987552731,-0.024313152042055,0.0427826821542617,0.5895273874535097,0.8740540740962318,0.9040276950242128
Brain-Stem,432,Pathology,Pathology_FCD,FCD vs HS,-0.0120160279488576,0.0219064051223961,-0.0550770740059773,0.031045018108262,0.5836314442190546,0.0258526695411283,-0.0626863291536849,0.0386542732559696,0.6420828006491781,0.8740540740962318,0.911641487746774
R-Putamen,432,Pathology,Pathology_OTHER,Other vs HS,-0.0129472525065157,0.0238193909466534,-0.0597686220957127,0.0338741170826811,0.5870359027476919,0.0256670471584169,-0.0632537405265041,0.0373592355134725,0.6139585864893349,0.8740540740962318,0.9040276950242128
L-Caudate,432,Pathology,Pathology_CAV,CAV vs HS,-0.0183461856114683,0.0342314189853231,-0.0856343007217184,0.0489419294987817,0.5922824372016549,0.0305068453543315,-0.0781385037878912,0.0414461325649545,0.5475873759638659,0.8740540740962318,0.8945734359805729
L-Hippocampus,432,Sex,Male,Male vs female,0.0077611714962469,0.0147809871321196,-0.0212935622270505,0.0368159052195444,0.5998086754576342,0.0161149081323789,-0.0238234680573873,0.0393458110498812,0.6300799086532392,0.8740540740962318,0.9040276950242128
R-Putamen,432,Operation side,Right_side,Right vs left,0.008331651030483,0.015870923951503,-0.0228655528661078,0.039528854927074,0.5998884244709596,0.0165351841120176,-0.0240767143068103,0.0407400163677765,0.6143498512560098,0.8740540740962318,0.9040276950242128
L-Thalamus,432,Operation side,Right_side,Right vs left,0.008246512602754,0.0157507744405512,-0.0227145154541258,0.0392075406596338,0.6008617574385331,0.0152592311841773,-0.0216610309500041,0.0381540561555121,0.5889020463691694,0.8740540740962318,0.9040276950242128
L-Hippocampus,432,Number of ASMs,ASMs_z,"Number of ASMs, per 1 SD",-0.0038153911981879,0.0073734993395111,-0.0183093527992277,0.0106785704028518,0.6051195582212985,0.0072941216802345,-0.0181116069903005,0.0104808245939245,0.6009202971625678,0.8740540740962318,0.9040276950242128
R-Hippocampus,432,Pathology,Pathology_FCD,FCD vs HS,-0.0180860631901798,0.0350732596064578,-0.087028970018053,0.0508568436376933,0.6063621267805054,0.0363486794958555,-0.0893281658876462,0.0531560395072865,0.618786169153751,0.8740540740962318,0.9040276950242128
L-Amygdala,432,Region size,Region_size_z,"Reference-mask voxel count, per 1 SD",-0.0036857316673635,0.0072040566635383,-0.0178466226968813,0.0104751593621543,0.6091892031579798,0.0076182930196394,-0.0186173116095297,0.0112458482748027,0.6285276749149434,0.8740540740962318,0.9040276950242128
R-Caudate,432,Number of ASMs,ASMs_z,"Number of ASMs, per 1 SD",0.0041563663040151,0.0083608733642473,-0.0122784595382005,0.0205911921462308,0.619366302647479,0.0084416739432137,-0.012389010593914,0.0207017432019443,0.6224628850737071,0.880995171869259,0.9040276950242128
L-Hippocampus,432,Pathology,Pathology_DUAL,Dual vs HS,0.0165978742875273,0.0348240455096616,-0.0518551566506109,0.0850509052256656,0.6338822190780052,0.0415623173888183,-0.0648627709085794,0.0980585194836342,0.6896359888976606,0.8881259640007451,0.921045764869576
L-Thalamus,432,Pathology,Pathology_OTHER,Other vs HS,-0.0108318730516202,0.0228112511886489,-0.0556715595527479,0.0340078134495074,0.6351446288005328,0.0249698527581189,-0.0597718851568014,0.0381081390535609,0.6644351089288474,0.8881259640007451,0.921045764869576
R-Caudate,432,Pathology,Pathology_DNT,DNT vs HS,-0.0117400258447272,0.026631339076783,-0.0640887938028125,0.040608742113358,0.6595614674834506,0.025593122619995,-0.0619016244318349,0.0384215727423804,0.6464366913113488,0.9145180011325156,0.911641487746774
L-Hippocampus,432,Operation side,Right_side,Right vs left,0.006530397696036,0.0154962257907088,-0.0239302684313806,0.0369910638234527,0.6736671042053932,0.0155784833683717,-0.0240028686397289,0.0370636640318009,0.675074781780409,0.9229091460361954,0.921045764869576
L-Hippocampus,432,Pathology,Pathology_OTHER,Other vs HS,0.0088398521907702,0.0219725942115147,-0.0343513006273214,0.052031005008862,0.6876605962126089,0.0221554263651346,-0.0345839855470227,0.0522636899285633,0.689898622884958,0.9229091460361954,0.921045764869576
R-Putamen,432,Number of ASMs,ASMs_z,"Number of ASMs, per 1 SD",-0.003326807647326,0.0083068521055043,-0.0196554448247288,0.0130018295300768,0.6890015536743871,0.0078853328365521,-0.0187817760130792,0.0121281607184272,0.6730993316002302,0.9229091460361954,0.921045764869576
L-Putamen,432,Sex,Male,Male vs female,-0.0065009396557294,0.0163804318257861,-0.0386996744707156,0.0256977951592566,0.6916651530863422,0.0171786065896425,-0.0401703898760113,0.0271685105645523,0.7051094749439852,0.9229091460361954,0.921045764869576
L-Cerebral-WM,432,Pathology,Pathology_OTHER,Other vs HS,0.0062471968650266,0.0159197545789665,-0.0250459925612054,0.0375403862912587,0.6949504319460594,0.0166776496401698,-0.0264403957764835,0.0389347895065368,0.7079691538254262,0.9229091460361954,0.921045764869576
L-Pallidum,432,Number of ASMs,ASMs_z,"Number of ASMs, per 1 SD",0.0033043257527126,0.0085448603317185,-0.0134921601261872,0.0201008116316125,0.6991735954819662,0.0084045156619329,-0.0131682222521787,0.0197768737576041,0.6942007509154926,0.9229091460361954,0.921045764869576
L-Pallidum,432,Age,Age_rank_z,"Age-band rank, per 1 SD",0.0031150663980634,0.0083256710762857,-0.0132505629084922,0.0194806957046192,0.7084818706678605,0.0083447016802747,-0.0132402483570059,0.0194703811531329,0.7089261341723403,0.9265171235858966,0.921045764869576
R-Hippocampus,432,Number of ASMs,ASMs_z,"Number of ASMs, per 1 SD",0.0027050857380438,0.0074614454472176,-0.0119617500234681,0.0173719214995557,0.7171313203130325,0.0071575827234226,-0.0113235186162306,0.0167336900923183,0.7054804679651996,0.9265171235858966,0.921045764869576
L-Pallidum,432,Operation side,Right_side,Right vs left,0.0059648588273687,0.0165519985586541,-0.0265711217814672,0.0385008394362047,0.7187526776908774,0.0168169529062852,-0.0269957631986564,0.0389254808533939,0.7228194463576625,0.9265171235858966,0.9317594425704244
R-Pallidum,432,Pathology,Pathology_OTHER,Other vs HS,-0.0080633256709788,0.0239642764462897,-0.0551694942099801,0.0390428428680224,0.7366840709016985,0.0242097560404521,-0.0555135755847662,0.0393869242428084,0.7390882341889945,0.9284684368254,0.9380735280091084
