region,n,predictor_family,term,contrast,beta,se_conventional,ci95_low_conventional,ci95_high_conventional,p_conventional,se_hc3,ci95_low_hc3,ci95_high_hc3,p_hc3,p_fdr_conventional_165,p_fdr_hc3_165
L-Caudate,432,Pathology,Pathology_FCD,FCD vs HS,-0.004524675712704,0.0410454639086484,-0.0852070424420212,0.0761576910166132,0.9122756050075244,0.0434036458117015,-0.0895942583013718,0.0805449068759637,0.9169737781045496,0.9761578788103088,0.9793393742882704
R-Pallidum,432,Number of ASMs,ASMs_z,"Number of ASMs, per 1 SD",-0.0009217618595934,0.0083666797302929,-0.0173680011762845,0.0155244774570977,0.9123272314502876,0.0082128830226257,-0.0170187167931803,0.0151751930739935,0.91063814685087,0.9761578788103088,0.9793393742882704
L-Putamen,432,Pathology,Pathology_DUAL,Dual vs HS,-0.0038583076039843,0.0369992245276843,-0.076587050752968,0.0688704355449993,0.9169967952460478,0.0384094577196704,-0.0791394614002523,0.0714228461922836,0.919985472816254,0.9761578788103088,0.9793393742882704
L-Amygdala,432,Sex,Male,Male vs female,-0.0011668167932823,0.0141947648967188,-0.0290692234899745,0.0267355899034097,0.9345268101377444,0.0152465745892373,-0.0310495538757911,0.0287159202892264,0.9389976331653146,0.9834443778633658,0.9866283876860495
L-Cerebral-WM,432,Pathology,Pathology_DUAL,Dual vs HS,0.0020904658772563,0.0259371849865918,-0.0488938152523669,0.0530747470068796,0.935801009764783,0.0301767223974737,-0.0570548231932554,0.0612357549477681,0.9447714257842172,0.9834443778633658,0.9866283876860495
R-Amygdala,432,Pathology,Pathology_DNT,DNT vs HS,-0.0017204300980913,0.0235194441985404,-0.0479521994921391,0.0445113392959564,0.941722495166132,0.0203903814808136,-0.0416848434315185,0.0382439832353358,0.9327586086667664,0.9834443778633658,0.9865716053206184
L-Caudate,432,Operation type,Extra_temporal,Extra-temporal vs temporal,-0.0013624340998373,0.0293786806409482,-0.0591116044045499,0.0563867362048753,0.963033676102417,0.0297379550208406,-0.0596477549145571,0.0569228867148824,0.9634579794114372,0.9909912865739904,0.9926569870831404
R-Thalamus,432,Pathology,Pathology_OTHER,Other vs HS,0.0008053394626314,0.0217783581357886,-0.0420040068218888,0.0436146857471517,0.9705195773547256,0.0224663277738005,-0.0432278538388895,0.0448385327641525,0.971404746571874,0.9909912865739904,0.9926569870831404
R-Amygdala,432,Number of ASMs,ASMs_z,"Number of ASMs, per 1 SD",-0.0001751005379616,0.0073982149070023,-0.014717645107504,0.0143674440315808,0.9811288241081982,0.0079398710143852,-0.0157369617680501,0.0153867606921269,0.9824054204706724,0.9909912865739904,0.9926569870831404
R-Amygdala,432,Pathology,Pathology_DUAL,Dual vs HS,0.0006606545745601,0.0342575439769233,-0.0666788139850693,0.0680001231341895,0.9846230463118129,0.0394563128607169,-0.0766722975951896,0.0779936067443099,0.9866408841311214,0.9909912865739904,0.9926569870831404
R-Hippocampus,432,Operation side,Right_side,Right vs left,-0.0002848797555679,0.015009246180963,-0.0297882983890678,0.0292185388779318,0.9848659335452208,0.0159248520019201,-0.0314970161384619,0.030927256627326,0.9857274004270749,0.9909912865739904,0.9926569870831404
R-Caudate,432,Pathology,Pathology_OTHER,Other vs HS,-0.0004509513329125,0.0239478065928252,-0.0475247453625122,0.0466228426966871,0.9849852787765724,0.0241580140072751,-0.047799788725186,0.0468978860593609,0.9851069623702284,0.9909912865739904,0.9926569870831404
R-Cerebral-WM,432,Pathology,Pathology_OTHER,Other vs HS,-4.24010945072606e-05,0.0164899292910241,-0.0324563732050426,0.0323715710160281,0.9979496081751236,0.0172656836928423,-0.0338825193009387,0.0337977171119241,0.9980405557483492,0.9979496081751232,0.9980405557483494
