comparison,n1,n2,target_power,alpha_uncorrected,alpha_bonferroni,mde_d_exact_t_uncorrected,mde_d_exact_t_bonferroni,mde_d_normal_approx_uncorrected,mde_d_normal_approx_bonferroni,pathology_pairwise_approximation
Sex: female vs male,233,199,0.8,0.05,0.0004761904761904762,0.2710269913215592,0.421467247110599,0.27042149659864295,0.4184745741592426,False
Operation side: left vs right,228,204,0.8,0.05,0.0004761904761904762,0.2706042016122125,0.42080977748354753,0.26999965143336785,0.41782177296510664,False
ILAE year 1: seizure-free vs not,242,175,0.8,0.05,0.0004761904761904762,0.2786452785222286,0.43339121867010255,0.2780002314228509,0.4302025908595324,False
Operation type: temporal vs extra-temporal,346,86,0.8,0.05,0.0004761904761904762,0.3383216324716392,0.5261154484300359,0.3375657964491416,0.5223797098107213,False
Pathology: HS vs Other,208,82,0.8,0.05,0.0004761904761904762,0.36653560136300484,0.571376067746868,0.3653122558355724,0.565317079517674,True
Pathology: HS vs DNT,208,51,0.8,0.05,0.0004761904761904762,0.4394046611700501,0.6855782819363279,0.43776089518951783,0.6774306277503296,True
Pathology: HS vs FCD,208,39,0.8,0.05,0.0004761904761904762,0.4907904049533798,0.7660631327392032,0.48886432191826357,0.7565126719198064,True
Pathology: HS vs cavernoma,208,32,0.8,0.05,0.0004761904761904762,0.5341471840817408,0.8339508313027215,0.5319891826167531,0.82324796457763,True
Pathology: HS vs dual pathology,208,20,0.8,0.05,0.0004761904761904762,0.6586830186272686,1.0288745222281903,0.6558803133501467,1.0149682561516102,True
